text,language,text_length,tokens
പനയതത മഞഞൽ വളയതത കററൽ എനനകക ആദദരവഡതതൽ ഉണടയരനനവനന തൽകപപയ സകഷയപപടതതനന,ml,120,"['പനയതത', 'മഞഞൽ', 'വളയതത', 'കററൽ', 'എനനകക', 'ആദദരവഡതതൽ', 'ഉണടയരനനവനന', 'തൽകപപയ', 'സകഷയപപടതതനന']"
ہندوستانچ راز دٲنؠ چھے نوؠ دل,ks,36,"['ہندوستانچ', 'راز', 'دٲنؠ', 'چھے', 'نوؠ', 'دل']"
کول محی الدین حاجنی پی,ks,25,"['کول', 'محی', 'الدین', 'حاجنی', 'پی']"
ऋषय मनतरदरषटर,sa,22,"['ऋषय', 'मनतरदरषटर']"
فلماردو پاکستان کی قومی زبان ہے اور یہ پورے ملک میں بولی اور سمجھی جاتی ہے,ur,76,"['فلماردو', 'پاکستان', 'کی', 'قومی', 'زبان', 'ہے', 'اور', 'یہ', 'پورے', 'ملک', 'میں', 'بولی', 'اور', 'سمجھی', 'جاتی', 'ہے']"
ಹಚಚನ ಮಹತಗಗ ಪಶಪಲನ ಮತತ ಪಶ ವದಯಕಯ ತರಬತ ಕದರ ದವಣಗರ ದರವಣ ಸಖಯ 0812 233787 ಗ ಸಪರಕಸಬಹದ ಎದ ಮಖಯ ಪಶ ವದಯಧಕರಗಳ ಪರಕಟಣಯಲಲ ತಳಸದದರ,kn,171,"['ಹಚಚನ', 'ಮಹತಗಗ', 'ಪಶಪಲನ', 'ಮತತ', 'ಪಶ', 'ವದಯಕಯ', 'ತರಬತ', 'ಕದರ', 'ದವಣಗರ', 'ದರವಣ', 'ಸಖಯ', '0812', '233787', 'ಗ', 'ಸಪರಕಸಬಹದ', 'ಎದ', 'ಮಖಯ', 'ಪಶ', 'ವದಯಧಕರಗಳ', 'ಪರಕಟಣಯಲಲ', 'ತಳಸದದರ']"
১৯৯৯ খরষটবদর ১৭ই নভমবর ইউনসক এই দনটক আনতরজতক মতভষ দবসর মরযদ পরদন কর,bn,98,"['১৯৯৯', 'খরষটবদর', '১৭ই', 'নভমবর', 'ইউনসক', 'এই', 'দনটক', 'আনতরজতক', 'মতভষ', 'দবসর', 'মরযদ', 'পরদন', 'কর']"
the norman language in england eventually developed into anglonorman,en,70,"['the', 'norman', 'language', 'in', 'england', 'eventually', 'developed', 'into', 'anglonorman']"
ఇద దరవడ భష కటబల ఎకకవమద మటలడ భష,te,51,"['ఇద', 'దరవడ', 'భష', 'కటబల', 'ఎకకవమద', 'మటలడ', 'భష']"
ककण आदवस जक ककन ककन व ककन अशय महणटत आत उततर महरशटरत आन दकषण गजरतत वसतत पण नव परमण पळयलयर ककण परतत आद रवतल,kok,173,"['ककण', 'आदवस', 'जक', 'ककन', 'ककन', 'व', 'ककन', 'अशय', 'महणटत', 'आत', 'उततर', 'महरशटरत', 'आन', 'दकषण', 'गजरतत', 'वसतत', 'पण', 'नव', 'परमण', 'पळयलयर', 'ककण', 'परतत', 'आद', 'रवतल']"
english is the majority native language in the united kingdom the united states canada australia new zealand see anglosphere and ireland an official language and the main language of singapore and it is widely spoken in some areas of the caribbean africa south asia southeast asia and oceania,en,304,"['english', 'is', 'the', 'majority', 'native', 'language', 'in', 'the', 'united', 'kingdom', 'the', 'united', 'states', 'canada', 'australia', 'new', 'zealand', 'see', 'anglosphere', 'and', 'ireland', 'an', 'official', 'language', 'and', 'the', 'main', 'language', 'of', 'singapore', 'and', 'it', 'is', 'widely', 'spoken', 'in', 'some', 'areas', 'of', 'the', 'caribbean', 'africa', 'south', 'asia', 'southeast', 'asia', 'and', 'oceania']"
ਪਹਲ ਨਟਫਕਸਨ 30 ਦਸਬਰ 1967 ਨ ਜਰ ਹਇਆ,pa,46,"['ਪਹਲ', 'ਨਟਫਕਸਨ', '30', 'ਦਸਬਰ', '1967', 'ਨ', 'ਜਰ', 'ਹਇਆ']"
తలగ తనగ ఆధరమ ఈ మడ పదల మలల వన మధయ సబధల గరచ చరతరకరలల భననభపరయల ఉననయ,te,110,"['తలగ', 'తనగ', 'ఆధరమ', 'ఈ', 'మడ', 'పదల', 'మలల', 'వన', 'మధయ', 'సబధల', 'గరచ', 'చరతరకరలల', 'భననభపరయల', 'ఉననయ']"
बद म ईरन धरधर भरत क अधक भग स परचत हत गए और इस शबद क अरथ म वसतर हत गय तथ हनद शबद पर भरत क वचक ह गय,hi,141,"['बद', 'म', 'ईरन', 'धरधर', 'भरत', 'क', 'अधक', 'भग', 'स', 'परचत', 'हत', 'गए', 'और', 'इस', 'शबद', 'क', 'अरथ', 'म', 'वसतर', 'हत', 'गय', 'तथ', 'हनद', 'शबद', 'पर', 'भरत', 'क', 'वचक', 'ह', 'गय']"
उनहन यह भ कह थ क रषटरभष क बन रषटर गग ह,hi,61,"['उनहन', 'यह', 'भ', 'कह', 'थ', 'क', 'रषटरभष', 'क', 'बन', 'रषटर', 'गग', 'ह']"
یہ ملک کی سماجی و ثقافتی میراث کا خزانہ ہے,ur,43,"['یہ', 'ملک', 'کی', 'سماجی', 'و', 'ثقافتی', 'میراث', 'کا', 'خزانہ', 'ہے']"
સ,gu,1,['સ']
some shared features of germanic languages include the division of verbs into strong and weak classes the use of modal verbs and the sound changes affecting protoindoeuropean consonants known as grimms and verners laws,en,224,"['some', 'shared', 'features', 'of', 'germanic', 'languages', 'include', 'the', 'division', 'of', 'verbs', 'into', 'strong', 'and', 'weak', 'classes', 'the', 'use', 'of', 'modal', 'verbs', 'and', 'the', 'sound', 'changes', 'affecting', 'protoindoeuropean', 'consonants', 'known', 'as', 'grimms', 'and', 'verners', 'laws']"
இவறறக கலததககக கலம பல அரச வமசஙகள ஆணடவநதன,ta,57,"['இவறறக', 'கலததககக', 'கலம', 'பல', 'அரச', 'வமசஙகள', 'ஆணடவநதன']"
१८८३ चय कलब गझटयरमधय आह,mr,35,"['१८८३', 'चय', 'कलब', 'गझटयरमधय', 'आह']"
ਹਲਕ ਬਹਤ ਸਬਦ ਹਦਉਰਦ ਅਤ ਅਗਰਜ ਤ ਆਏ ਹਨ ਪਰ ਪਜਬ ਵਚ ਸਪਨ ਭਸ ਅਤ ਡਚ ਭਸ ਤ ਵ ਸਬਦ ਆਏ ਹਨ,pa,112,"['ਹਲਕ', 'ਬਹਤ', 'ਸਬਦ', 'ਹਦਉਰਦ', 'ਅਤ', 'ਅਗਰਜ', 'ਤ', 'ਆਏ', 'ਹਨ', 'ਪਰ', 'ਪਜਬ', 'ਵਚ', 'ਸਪਨ', 'ਭਸ', 'ਅਤ', 'ਡਚ', 'ਭਸ', 'ਤ', 'ਵ', 'ਸਬਦ', 'ਆਏ', 'ਹਨ']"
یہ بھارتی ریاستیں آندھرا پردیش بہار جموں و کشمیر اتر پردیش جھارکھنڈ دار الخلافہ دہلی کی سرکاری زبان ہے,ur,109,"['یہ', 'بھارتی', 'ریاستیں', 'آندھرا', 'پردیش', 'بہار', 'جموں', 'و', 'کشمیر', 'اتر', 'پردیش', 'جھارکھنڈ', 'دار', 'الخلافہ', 'دہلی', 'کی', 'سرکاری', 'زبان', 'ہے']"
परष परथम परष म हम दवतय परष त तम तपई ततय परष ऊ उन उनहर,ne,92,"['परष', 'परथम', 'परष', 'म', 'हम', 'दवतय', 'परष', 'त', 'तम', 'तपई', 'ततय', 'परष', 'ऊ', 'उन', 'उनहर']"
அததடன தறபதய பகர மறறம வஙகளப பகதகள ஆணட வநத மகபலனயம வழததனன,ta,89,"['அததடன', 'தறபதய', 'பகர', 'மறறம', 'வஙகளப', 'பகதகள', 'ஆணட', 'வநத', 'மகபலனயம', 'வழததனன']"
भरत वशवक दश ठल अरथवयवसथ भएक रषटर पन ह तर हल गरक आरथक परगतक करण भरत आफ वशवम तसर अथव चथ ठल अरथवयवसथ भएक मनदछ,ne,156,"['भरत', 'वशवक', 'दश', 'ठल', 'अरथवयवसथ', 'भएक', 'रषटर', 'पन', 'ह', 'तर', 'हल', 'गरक', 'आरथक', 'परगतक', 'करण', 'भरत', 'आफ', 'वशवम', 'तसर', 'अथव', 'चथ', 'ठल', 'अरथवयवसथ', 'भएक', 'मनदछ']"
സഘസഹതയതതൽ പരതയകഷപപടനന തറമഖ നഗരങങൾ മചരതണട ഏഴമല വഴഞഞ നടവഴകൾ ചരനമർ ഏഴമലയല മവൻമർ വഴഞഞതത ആയനമര കവകൾ സഭവങങൾ എനനവയട നലലര ഭഗ ഇനനതത കരള പരദശതത നനനണ,ml,221,"['സഘസഹതയതതൽ', 'പരതയകഷപപടനന', 'തറമഖ', 'നഗരങങൾ', 'മചരതണട', 'ഏഴമല', 'വഴഞഞ', 'നടവഴകൾ', 'ചരനമർ', 'ഏഴമലയല', 'മവൻമർ', 'വഴഞഞതത', 'ആയനമര', 'കവകൾ', 'സഭവങങൾ', 'എനനവയട', 'നലലര', 'ഭഗ', 'ഇനനതത', 'കരള', 'പരദശതത', 'നനനണ']"
৮ম১২শ শতকমনত ৰচন কৰ বদধ ধৰমসধনৰ গত চৰযপদত অসময লপৰ সকলতক পৰণ পৰমণ পৱ যয,as,101,"['৮ম১২শ', 'শতকমনত', 'ৰচন', 'কৰ', 'বদধ', 'ধৰমসধনৰ', 'গত', 'চৰযপদত', 'অসময', 'লপৰ', 'সকলতক', 'পৰণ', 'পৰমণ', 'পৱ', 'যয']"
বঙগপসগর অবসথত আনদমন দবপপঞজর পরধন কথয ভষ বল,bn,65,"['বঙগপসগর', 'অবসথত', 'আনদমন', 'দবপপঞজর', 'পরধন', 'কথয', 'ভষ', 'বল']"
,bn,0,[]
অসময ভষত তলত দযৰ দৰ ৰপততবক বশষটযসমহ পৰকশ পয অসমযত লগ বযকৰণগত বষয নহয,as,101,"['অসময', 'ভষত', 'তলত', 'দযৰ', 'দৰ', 'ৰপততবক', 'বশষটযসমহ', 'পৰকশ', 'পয', 'অসমযত', 'লগ', 'বযকৰণগত', 'বষয', 'নহয']"
ಫಲಪಕರಟ ಫಯಷನನ ಉಪಧಯಕಷ ನಶಚತ ಗರಗ ಅವರ ಮತನಡ ಫಲಪಕರಟಗ ಹಬಬದ ಈ ಸಮಯದಲಲ ಹಸ ಗರಹಕರನನ ಒಳಗಳಳವಲಲ ಫಯಷನ ಪರಮಖ ಪತರ ವಹಸತತದ,kn,163,"['ಫಲಪಕರಟ', 'ಫಯಷನನ', 'ಉಪಧಯಕಷ', 'ನಶಚತ', 'ಗರಗ', 'ಅವರ', 'ಮತನಡ', 'ಫಲಪಕರಟಗ', 'ಹಬಬದ', 'ಈ', 'ಸಮಯದಲಲ', 'ಹಸ', 'ಗರಹಕರನನ', 'ಒಳಗಳಳವಲಲ', 'ಫಯಷನ', 'ಪರಮಖ', 'ಪತರ', 'ವಹಸತತದ']"
एत वशल पषपफलसमदधशच,sa,32,"['एत', 'वशल', 'पषपफलसमदधशच']"
தஞச மறறம மதரயச சரநத நயககரகள பகழ பறற வளஙகயதட பழஙகல கயலகளப பதபபககவம சயதனர,ta,116,"['தஞச', 'மறறம', 'மதரயச', 'சரநத', 'நயககரகள', 'பகழ', 'பறற', 'வளஙகயதட', 'பழஙகல', 'கயலகளப', 'பதபபககவம', 'சயதனர']"
ହତଗମଫର ଶଳଲଖର ଜଣ ଯଏ ଯ ଆଧନକ ଓଡଆ ଭଷର ମଳ ପଳ ଭଷର,or,69,"['ହତଗମଫର', 'ଶଳଲଖର', 'ଜଣ', 'ଯଏ', 'ଯ', 'ଆଧନକ', 'ଓଡଆ', 'ଭଷର', 'ମଳ', 'ପଳ', 'ଭଷର']"
ಸಟಪಲ ಗಳ ಮತತ ಕಳಗಳ ಮಲಗಳನನ ತಲಪಲ ಸಧಯವಗತತದ ಮತತ ರತರನನ ತನನ ಪಲಟ ಫರಮ ವಯಪತಗ ತರಲ ಸಧಯವಗತತದ,kn,122,"['ಸಟಪಲ', 'ಗಳ', 'ಮತತ', 'ಕಳಗಳ', 'ಮಲಗಳನನ', 'ತಲಪಲ', 'ಸಧಯವಗತತದ', 'ಮತತ', 'ರತರನನ', 'ತನನ', 'ಪಲಟ', 'ಫರಮ', 'ವಯಪತಗ', 'ತರಲ', 'ಸಧಯವಗತತದ']"
एष अणवसतरयत दश असत,sa,30,"['एष', 'अणवसतरयत', 'दश', 'असत']"
ଟ20 ବଶୱକପର ଟମ ଇଣଡଆ ଏହର ଗରତୱପରଣଣ ମୟଚ ଖଳଛ,or,62,"['ଟ20', 'ବଶୱକପର', 'ଟମ', 'ଇଣଡଆ', 'ଏହର', 'ଗରତୱପରଣଣ', 'ମୟଚ', 'ଖଳଛ']"
तशच उलवपच तर वयकरण सवरशसतर उचचर शबदसगरह जगय जगयर बदलत इतलच नहय तर वगवगळय जतधरमच लक वगवगळय बलय उलयतत,kok,151,"['तशच', 'उलवपच', 'तर', 'वयकरण', 'सवरशसतर', 'उचचर', 'शबदसगरह', 'जगय', 'जगयर', 'बदलत', 'इतलच', 'नहय', 'तर', 'वगवगळय', 'जतधरमच', 'लक', 'वगवगळय', 'बलय', 'उलयतत']"
ಗಲಬ ಚಡಮರತದ ಪರಣಮದದ ಆಧರಪರದಶ ಕರನಟಕ ಕರಳ ತಮಳನಡ ತಲಗಣ ಸರದತ ಅನಕ ರಜಯಗಳಲಲ ಭರ ಮಳಯಗತತ,kn,119,"['ಗಲಬ', 'ಚಡಮರತದ', 'ಪರಣಮದದ', 'ಆಧರಪರದಶ', 'ಕರನಟಕ', 'ಕರಳ', 'ತಮಳನಡ', 'ತಲಗಣ', 'ಸರದತ', 'ಅನಕ', 'ರಜಯಗಳಲಲ', 'ಭರ', 'ಮಳಯಗತತ']"
ஆறம நறறணடல பலலவரகள சழரத தறகடததனர,ta,52,"['ஆறம', 'நறறணடல', 'பலலவரகள', 'சழரத', 'தறகடததனர']"
ಅಲಲದ ರತರ ಆದಯವನನ ಹಚಚಸಕಳಳಲ ಸಧಯವಗತತದ ಹಗ ಕಷ ಸಮದಯದ ವಯವಹರವನನ ವದಧಸಕಳಳಲ ಬಬಲ ಸಕಕತಗತತದ,kn,123,"['ಅಲಲದ', 'ರತರ', 'ಆದಯವನನ', 'ಹಚಚಸಕಳಳಲ', 'ಸಧಯವಗತತದ', 'ಹಗ', 'ಕಷ', 'ಸಮದಯದ', 'ವಯವಹರವನನ', 'ವದಧಸಕಳಳಲ', 'ಬಬಲ', 'ಸಕಕತಗತತದ']"
भरतयससद सदनदवयमसत,sa,26,"['भरतयससद', 'सदनदवयमसत']"
جبکہ کچھ صدیوں بعد وسطی ایشیا کے افغان ترک فارسی متکلم باشاہوں نے فارسی زبان کو اس خطے میں متعارف کرایا ان بادشاہوں میں سلطان محمود غزنوی قابل ذکر ہیں,ur,152,"['جبکہ', 'کچھ', 'صدیوں', 'بعد', 'وسطی', 'ایشیا', 'کے', 'افغان', 'ترک', 'فارسی', 'متکلم', 'باشاہوں', 'نے', 'فارسی', 'زبان', 'کو', 'اس', 'خطے', 'میں', 'متعارف', 'کرایا', 'ان', 'بادشاہوں', 'میں', 'سلطان', 'محمود', 'غزنوی', 'قابل', 'ذکر', 'ہیں']"
ସଥମଧୟର ଲପ ଆକତ ଆଦ ପରବର ଥବ ବଳ ମଇକରସଫଟଦୱର ଇଣଡକ ଇନପଟ ଭରତୟ ଭଷର ଉପଲବଧ ଯହଦୱର ଓଡଆ ଲପର ସହଜର ଯ କଣଶ ଆପଲକସନର ଓଡଆର ଟଇପ କରଯଇ ପରଛ,or,177,"['ସଥମଧୟର', 'ଲପ', 'ଆକତ', 'ଆଦ', 'ପରବର', 'ଥବ', 'ବଳ', 'ମଇକରସଫଟଦୱର', 'ଇଣଡକ', 'ଇନପଟ', 'ଭରତୟ', 'ଭଷର', 'ଉପଲବଧ', 'ଯହଦୱର', 'ଓଡଆ', 'ଲପର', 'ସହଜର', 'ଯ', 'କଣଶ', 'ଆପଲକସନର', 'ଓଡଆର', 'ଟଇପ', 'କରଯଇ', 'ପରଛ']"
ഡ,ml,3,['ഡ']
हनद म द वचन हत ह एकवचन और बहवचन,hi,45,"['हनद', 'म', 'द', 'वचन', 'हत', 'ह', 'एकवचन', 'और', 'बहवचन']"
ಅದ ಸಮಯದಲಲ ಹವಮನ ಇಲಖ ಕಡ ಗಜರತನಲಲ 3 ದನಗಳ ಕಲ ಭರ ಮಳಯಗವ ಎಚಚರಕಯನನ ನಡದ,kn,92,"['ಅದ', 'ಸಮಯದಲಲ', 'ಹವಮನ', 'ಇಲಖ', 'ಕಡ', 'ಗಜರತನಲಲ', '3', 'ದನಗಳ', 'ಕಲ', 'ಭರ', 'ಮಳಯಗವ', 'ಎಚಚರಕಯನನ', 'ನಡದ']"
१९४७ नतर सवततर भरत दशन मरठल अधकत रजयभषच दरज दल,mr,69,"['१९४७', 'नतर', 'सवततर', 'भरत', 'दशन', 'मरठल', 'अधकत', 'रजयभषच', 'दरज', 'दल']"
ರಸತಯ ಅರಣಚತರಮದರ ಎದರಗಡಯರವ ಪಶ ಆಸಪತರ ಆವರಣದ ಪಶಪಲನ ಮತತ ಪಶ ವದಯಕಯ ತರಬತ ಕದರದಲಲ ಹಮಮಕಳಳಲಗದ,kn,119,"['ರಸತಯ', 'ಅರಣಚತರಮದರ', 'ಎದರಗಡಯರವ', 'ಪಶ', 'ಆಸಪತರ', 'ಆವರಣದ', 'ಪಶಪಲನ', 'ಮತತ', 'ಪಶ', 'ವದಯಕಯ', 'ತರಬತ', 'ಕದರದಲಲ', 'ಹಮಮಕಳಳಲಗದ']"
however the centre of norsified english seems to have been in the midlands around lindsey and after 920 ce when lindsey was reincorporated into the anglosaxon polity norse features spread from there into english varieties that had not been in direct contact with norse speakers,en,281,"['however', 'the', 'centre', 'of', 'norsified', 'english', 'seems', 'to', 'have', 'been', 'in', 'the', 'midlands', 'around', 'lindsey', 'and', 'after', '920', 'ce', 'when', 'lindsey', 'was', 'reincorporated', 'into', 'the', 'anglosaxon', 'polity', 'norse', 'features', 'spread', 'from', 'there', 'into', 'english', 'varieties', 'that', 'had', 'not', 'been', 'in', 'direct', 'contact', 'with', 'norse', 'speakers']"
ਪਜਬ ਭਸ ਸਹਮਖ ਗਰਮਖ ਪਜਬ ਪਜਬ ਦ ਭਸ ਜਸ ਨ ਪਜਬ ਖਤਰ ਦ ਵਸਨਕ ਜ ਸਬਧਤ ਲਕ ਬਲਦ ਹਨ,pa,110,"['ਪਜਬ', 'ਭਸ', 'ਸਹਮਖ', 'ਗਰਮਖ', 'ਪਜਬ', 'ਪਜਬ', 'ਦ', 'ਭਸ', 'ਜਸ', 'ਨ', 'ਪਜਬ', 'ਖਤਰ', 'ਦ', 'ਵਸਨਕ', 'ਜ', 'ਸਬਧਤ', 'ਲਕ', 'ਬਲਦ', 'ਹਨ']"
عربی کا اس خطے میں عمل دخل اس وقت شروع ہوا جب پہلے ہزار سال کے آخری دور میں عربوں نے برصغیر کے کچھ علاقوں میں بطور فاتح قدم جمایا,ur,129,"['عربی', 'کا', 'اس', 'خطے', 'میں', 'عمل', 'دخل', 'اس', 'وقت', 'شروع', 'ہوا', 'جب', 'پہلے', 'ہزار', 'سال', 'کے', 'آخری', 'دور', 'میں', 'عربوں', 'نے', 'برصغیر', 'کے', 'کچھ', 'علاقوں', 'میں', 'بطور', 'فاتح', 'قدم', 'جمایا']"
ధర శర పరవత కళ శవర దకషరమ సజఙ వఱల తరలగ కరమగట నధరదశ బరదర దరలగదశ మనజన గతలన తతతరలగ పదమ తదభవబగటచ దలగ దశ మనగ దటపడయ వనక దనగ దశమన నడర కదర శరశల కళశవర దరకషరమ అన మడ శవలగకషతరల మధయ భగమ తరలగదశమన తరలగ పదమ తలగ గ పరణమమ పదనదన ఒక సమరథన,te,343,"['ధర', 'శర', 'పరవత', 'కళ', 'శవర', 'దకషరమ', 'సజఙ', 'వఱల', 'తరలగ', 'కరమగట', 'నధరదశ', 'బరదర', 'దరలగదశ', 'మనజన', 'గతలన', 'తతతరలగ', 'పదమ', 'తదభవబగటచ', 'దలగ', 'దశ', 'మనగ', 'దటపడయ', 'వనక', 'దనగ', 'దశమన', 'నడర', 'కదర', 'శరశల', 'కళశవర', 'దరకషరమ', 'అన', 'మడ', 'శవలగకషతరల', 'మధయ', 'భగమ', 'తరలగదశమన', 'తరలగ', 'పదమ', 'తలగ', 'గ', 'పరణమమ', 'పదనదన', 'ఒక', 'సమరథన']"
বলদশ ও পশচমবঙগ পরচলত বল ভষর মধয শবদগত ও উচচরণগত সমনয পরথকয রযছ,bn,92,"['বলদশ', 'ও', 'পশচমবঙগ', 'পরচলত', 'বল', 'ভষর', 'মধয', 'শবদগত', 'ও', 'উচচরণগত', 'সমনয', 'পরথকয', 'রযছ']"
because norman was spoken primarily by the elites and nobles while the lower classes continued speaking anglosaxon english the main influence of norman was the introduction of a wide range of loanwords related to politics legislation and prestigious social domains,en,271,"['because', 'norman', 'was', 'spoken', 'primarily', 'by', 'the', 'elites', 'and', 'nobles', 'while', 'the', 'lower', 'classes', 'continued', 'speaking', 'anglosaxon', 'english', 'the', 'main', 'influence', 'of', 'norman', 'was', 'the', 'introduction', 'of', 'a', 'wide', 'range', 'of', 'loanwords', 'related', 'to', 'politics', 'legislation', 'and', 'prestigious', 'social', 'domains']"
the earliest form of english is called old english or anglosaxon c,en,69,"['the', 'earliest', 'form', 'of', 'english', 'is', 'called', 'old', 'english', 'or', 'anglosaxon', 'c']"
అయన కడ కరసత శక మదట శతబదమల శతవహన రజల సషటచన గథసపతశత అనన మహరషటర పరకత పదయ సకలనల తలగ పదల మటటమదట కనపచయ,te,153,"['అయన', 'కడ', 'కరసత', 'శక', 'మదట', 'శతబదమల', 'శతవహన', 'రజల', 'సషటచన', 'గథసపతశత', 'అనన', 'మహరషటర', 'పరకత', 'పదయ', 'సకలనల', 'తలగ', 'పదల', 'మటటమదట', 'కనపచయ']"
हनद भष व सहतय क जनकर अपभरश क अनतम अवसथ अवहटठ स हनद क उदभव सवकर करत ह,hi,106,"['हनद', 'भष', 'व', 'सहतय', 'क', 'जनकर', 'अपभरश', 'क', 'अनतम', 'अवसथ', 'अवहटठ', 'स', 'हनद', 'क', 'उदभव', 'सवकर', 'करत', 'ह']"
উষম ধবনৰ ভতৰত ঘষ আৰ অঘষ দইবধ পৱ যয,as,48,"['উষম', 'ধবনৰ', 'ভতৰত', 'ঘষ', 'আৰ', 'অঘষ', 'দইবধ', 'পৱ', 'যয']"
by the 7th century the germanic language of the anglosaxons became dominant in britain replacing the languages of roman britain common brittonic a celtic language and latin brought to britain by the roman occupation,en,223,"['by', 'the', '7th', 'century', 'the', 'germanic', 'language', 'of', 'the', 'anglosaxons', 'became', 'dominant', 'in', 'britain', 'replacing', 'the', 'languages', 'of', 'roman', 'britain', 'common', 'brittonic', 'a', 'celtic', 'language', 'and', 'latin', 'brought', 'to', 'britain', 'by', 'the', 'roman', 'occupation']"
परकतवयकरण न ससकत क ढच पर वयकरण लख और ससकत क ह परकत आद क परकत मन,hi,99,"['परकतवयकरण', 'न', 'ससकत', 'क', 'ढच', 'पर', 'वयकरण', 'लख', 'और', 'ससकत', 'क', 'ह', 'परकत', 'आद', 'क', 'परकत', 'मन']"
অসময ভষৰ গঢ আৰ ধবন বশষটযসমহ সসকতৰ পৰ উদভৱ হছ,as,65,"['অসময', 'ভষৰ', 'গঢ', 'আৰ', 'ধবন', 'বশষটযসমহ', 'সসকতৰ', 'পৰ', 'উদভৱ', 'হছ']"
these shared innovations show that the languages have descended from a single common ancestor called protogermanic,en,115,"['these', 'shared', 'innovations', 'show', 'that', 'the', 'languages', 'have', 'descended', 'from', 'a', 'single', 'common', 'ancestor', 'called', 'protogermanic']"
ससकत म ष क उचचरण ऐस हत थ जभ क नक क मरध मह क छत क ओर उठकर श जस आवज करन,hi,102,"['ससकत', 'म', 'ष', 'क', 'उचचरण', 'ऐस', 'हत', 'थ', 'जभ', 'क', 'नक', 'क', 'मरध', 'मह', 'क', 'छत', 'क', 'ओर', 'उठकर', 'श', 'जस', 'आवज', 'करन']"
جبکہ ہندی زبان دیوناگری رسم الخط میں لکھی جاتی ہے اور سنسکرت الفاظ زیادہ استعمال کرتی ہے,ur,89,"['جبکہ', 'ہندی', 'زبان', 'دیوناگری', 'رسم', 'الخط', 'میں', 'لکھی', 'جاتی', 'ہے', 'اور', 'سنسکرت', 'الفاظ', 'زیادہ', 'استعمال', 'کرتی', 'ہے']"
বলদশ পরত বছর ২১শ ফবরযর ভষ আনদলন দবস পলত হয,bn,65,"['বলদশ', 'পরত', 'বছর', '২১শ', 'ফবরযর', 'ভষ', 'আনদলন', 'দবস', 'পলত', 'হয']"
ہندوستان کٲشر ہندی انگریزی چھ براعظم ایشیاہس منز ملک,ks,70,"['ہندوستان', 'کٲشر', 'ہندی', 'انگریزی', 'چھ', 'براعظم', 'ایشیاہس', 'منز', 'ملک']"
नपसक वसतओ क लग भष परमपरनसर पललग य सतरलग हत ह,hi,72,"['नपसक', 'वसतओ', 'क', 'लग', 'भष', 'परमपरनसर', 'पललग', 'य', 'सतरलग', 'हत', 'ह']"
সধ ভষর পরবরতনর কথ মন রখল অনতযমধয উপসতরর শষসম ১৭৫০ খর ধরই সঙগত,bn,87,"['সধ', 'ভষর', 'পরবরতনর', 'কথ', 'মন', 'রখল', 'অনতযমধয', 'উপসতরর', 'শষসম', '১৭৫০', 'খর', 'ধরই', 'সঙগত']"
ଜଳ ସମପଦ ଶକତ ଏବ ନକସଲ ଉପଦରବ ସମସୟ ସମବନଧତ ବଷୟର ମଳତ ପଦକଷପ ଗରହଣ କରବ ପଇ ସହମତ ପରକଶ ପଇଥଲ ଓଡଆ ଏବ ତଲଗ ଭଷ ପଇ ଯଥକରମ ବରହମପର ଖଲଲକଟ ବଶବ ବଦୟଳୟ ଏବ ଶରକକଲମ ସଥତ ଅମବଦକର ବଶବ ବଦୟଳୟର ସବତନତର ଚୟର ପରତଷଠ କରଯବ,or,261,"['ଜଳ', 'ସମପଦ', 'ଶକତ', 'ଏବ', 'ନକସଲ', 'ଉପଦରବ', 'ସମସୟ', 'ସମବନଧତ', 'ବଷୟର', 'ମଳତ', 'ପଦକଷପ', 'ଗରହଣ', 'କରବ', 'ପଇ', 'ସହମତ', 'ପରକଶ', 'ପଇଥଲ', 'ଓଡଆ', 'ଏବ', 'ତଲଗ', 'ଭଷ', 'ପଇ', 'ଯଥକରମ', 'ବରହମପର', 'ଖଲଲକଟ', 'ବଶବ', 'ବଦୟଳୟ', 'ଏବ', 'ଶରକକଲମ', 'ସଥତ', 'ଅମବଦକର', 'ବଶବ', 'ବଦୟଳୟର', 'ସବତନତର', 'ଚୟର', 'ପରତଷଠ', 'କରଯବ']"
करय वचनस भ परभवत हत ह,hi,34,"['करय', 'वचनस', 'भ', 'परभवत', 'हत', 'ह']"
ರತರಗ ರಷಟರಯ ತಟಗರಕ ಮಷನ ಯಜನಯಡಯಲಲ ಸಹಯಧನ ನಡಲ ರತರದ ಅರಜ ಆಹವನಸಲಗದ,kn,89,"['ರತರಗ', 'ರಷಟರಯ', 'ತಟಗರಕ', 'ಮಷನ', 'ಯಜನಯಡಯಲಲ', 'ಸಹಯಧನ', 'ನಡಲ', 'ರತರದ', 'ಅರಜ', 'ಆಹವನಸಲಗದ']"
ગજરત ૭૦૦ વરષ કરત વધ જન છ,gu,33,"['ગજરત', '૭૦૦', 'વરષ', 'કરત', 'વધ', 'જન', 'છ']"
एथनलग क अनसर हनद वशव क तसर सबस अधक बल जन वल भष ह,hi,73,"['एथनलग', 'क', 'अनसर', 'हनद', 'वशव', 'क', 'तसर', 'सबस', 'अधक', 'बल', 'जन', 'वल', 'भष', 'ह']"
एष भभग सवसय ससकतकसमपदय परसदध असत,sa,53,"['एष', 'भभग', 'सवसय', 'ससकतकसमपदय', 'परसदध', 'असत']"
